ukprn,provider_name,provider_type,provider_group,inspection_number,inspection_type,inspection_date,inspection_length_in_days
10000285,Andrew Collinge Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030789,Full Inspection,2017.06.20,3
10008074,Tring Park School for the Performing Arts,Dance and drama college,Dance and drama colleges,10004879,Full Inspection,2015.11.04,1
10000381,Arts Educational School,Dance and drama college,Dance and drama colleges,10004880,Full Inspection,2015.11.11,1
10000417,Aspect Training Ltd,Independent learning provider,Independent learning providers (including employer providers),10078057,Full Inspection,2019.02.11,2
10000427,Asset Training & Consultancy Limited,Independent learning provider,Independent learning providers (including employer providers),10004881,Full Inspection,2016.02.02,3
10008081,AWE PLC,Employer provider,Independent learning providers (including employer providers),ITS320128,Full Inspection,2008.03.25,3
10000470,Axia Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),ITS375546,Full Inspection,2011.12.06,3
10005781,Azure Charitable Enterprises,Independent learning provider,Independent learning providers (including employer providers),ITS429276,Full Inspection,2014.06.10,2
10000486,B L Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS455578,Full Inspection,2015.06.15,4
10000488,B-Skill Limited,Independent learning provider,Independent learning providers (including employer providers),10123035,Full Inspection,2020.02.18,3
10000494,Babington Business College Limited,Independent learning provider,Independent learning providers (including employer providers),ITS452977,Full Inspection,2015.03.02,4
10000501,BAE Systems PLC,Employer provider,Independent learning providers (including employer providers),ITS345916,Full Inspection,2010.06.14,4
10000532,"Barnardo's Employment, Training and Skills",Independent learning provider,Independent learning providers (including employer providers),10078058,Full Inspection,2019.07.16,3
10000538,Barnsley Metropolitan Borough Council,Local authority provider,Adult community education providers,10054539,Full Inspection,2018.11.13,3
10000561,Basingstoke ITEC,Independent learning provider,Independent learning providers (including employer providers),ITS404581,Full Inspection,2012.11.13,3
10024291,Bedford Borough Council,Local authority provider,Adult community education providers,NULL,NULL,NA,NA
10000688,Biffa Waste Services Limited,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10002011,Doreen Bird College of Performing Arts Ltd.,Dance and drama college,Dance and drama colleges,10004883,Full Inspection,2015.12.02,1
10000715,Birmingham Electrical Training Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS446037,Full Inspection,2015.06.23,3
10006600,BCTG Limited,Independent learning provider,Independent learning providers (including employer providers),10046747,Full Inspection,2018.06.12,3
10000748,Blackburn with Darwen Borough Council,Local authority provider,Adult community education providers,ITS343845,Full Inspection,2010.02.01,4
10000755,Blackpool Borough Council,Local authority provider,Adult community education providers,10078059,Full Inspection,2019.01.22,3
10000795,Bolton Metropolitan Borough Council,Local authority provider,Adult community education providers,10054540,Full Inspection,2018.11.13,3
10047306,BOSCO Centre,Independent learning provider,Independent learning providers (including employer providers),10004888,Full Inspection,2015.10.19,3
10000831,BPP Holdings Limited,Independent learning provider,Independent learning providers (including employer providers),10039585,Full Inspection,2017.09.26,3
10000834,Bracknell Forest Borough Council,Local authority provider,Adult community education providers,10030744,Full Inspection,2017.11.22,2
10000850,City Of Bradford Metropolitan District Council,Local authority provider,Adult community education providers,ITS429146,Full Inspection,2014.03.25,2
10000848,Appris Charity Limited,Independent learning provider,Independent learning providers (including employer providers),10030671,Full Inspection,2017.11.14,3
10000874,Bridge Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030676,Full Inspection,2017.05.15,3
10000883,Brighton & Hove City Council,Local authority provider,Adult community education providers,ITS333091,Full Inspection,2010.02.08,4
10000896,Bristol City Council,Local authority provider,Adult community education providers,10004892,Full Inspection,2016.02.22,3
10000915,British Gas Services Limited,Employer provider,Independent learning providers (including employer providers),ITS317802,Full Inspection,2007.07.09,3
10000929,British Printing Industries Federation Ltd,Independent learning provider,Independent learning providers (including employer providers),10108213,Full Inspection,2019.07.30,3
10009063,Building Crafts College,Independent learning provider,Independent learning providers (including employer providers),10123081,Full Inspection,2020.01.28,3
10000994,Burleigh College,Independent learning provider,Independent learning providers (including employer providers),10146998,Full Inspection,2020.03.03,2
10001008,Bury Metropolitan Borough Council,Local authority provider,Adult community education providers,ITS342353,Full Inspection,2010.03.15,4
10030637,Busy Bees Nurseries Limited,Employer provider,Independent learning providers (including employer providers),10022580,Short inspection Conversion,2017.02.01,8
10001078,Digital Telecoms Network Academy Limited,Independent learning provider,Independent learning providers (including employer providers),10109424,Full Inspection,2019.09.17,3
10001094,Calderdale Metropolitan Borough Council,Local authority provider,Adult community education providers,10030745,Full Inspection,2018.01.30,3
10001123,Cambridgeshire County Council,Local authority provider,Adult community education providers,ITS363131,Full Inspection,2011.03.07,4
10082722,Canto Learning Limited,Independent learning provider,Independent learning providers (including employer providers),10022565,Full Inspection,2016.10.11,2
10006622,The Care Learning Centre (Isle of Wight) Limited,Independent learning provider,Independent learning providers (including employer providers),10011473,Full Inspection,2016.05.24,3
10001174,CT Skills Limited,Independent learning provider,Independent learning providers (including employer providers),10004899,Full Inspection,2016.08.16,3
10001182,Aspire-Igen Group Ltd,Independent learning provider,Independent learning providers (including employer providers),10008484,Full Inspection,2016.01.26,3
10001259,Central Training Academy Limited,Independent learning provider,Independent learning providers (including employer providers),10128116,Full Inspection,2020.03.10,3
10032017,Community Learning in Partnership (CLIP) CIC,Independent learning provider,Independent learning providers (including employer providers),ITS429087,Full Inspection,2014.02.04,3
10001310,Chamber Training (Humber) Limited,Independent learning provider,Independent learning providers (including employer providers),10041121,Short inspection Conversion,2018.02.26,3
10008159,Cheyne's (Management) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS429261,Full Inspection,2014.08.18,4
10001394,Chiltern Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366052,Full Inspection,2012.03.26,4
10001436,CITB (Construction Industry Training Board),Independent learning provider,Independent learning providers (including employer providers),10030785,Full Inspection,2017.10.10,3
10001515,CMS Vocational Training Ltd.,Independent learning provider,Independent learning providers (including employer providers),10166320,Full Inspection,2021.07.13,3
10001539,The College of Animal Welfare Limited,Independent learning provider,Independent learning providers (including employer providers),10004903,Full Inspection,2016.02.08,3
10001602,CTS Training,Independent learning provider,Independent learning providers (including employer providers),10054542,Full Inspection,2019.01.15,3
10001695,The Cornwall Council,Local authority provider,Adult community education providers,ITS430293,Full Inspection,2014.11.17,4
10008915,City of London Adult Community Learning,Local authority provider,Adult community education providers,10004904,Full Inspection,2016.05.23,3
10001723,Coventry City Council,Local authority provider,Adult community education providers,ITS423414,Full Inspection,2013.11.11,4
10001736,Crackerjack Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366023,Full Inspection,2011.05.10,3
10001786,CSM Consulting Limited,Independent learning provider,Independent learning providers (including employer providers),10037411,Full Inspection,2018.03.07,2
10001800,Cumbria County Council,Local authority provider,Adult community education providers,10041162,Full Inspection,2018.01.30,3
10001309,Coventry and Warwickshire Chambers of Commerce Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS342709,Full Inspection,2009.11.02,4
10001828,DART Limited,Independent learning provider,Independent learning providers (including employer providers),10004907,Full Inspection,2015.10.06,3
10001831,Damar Limited,Independent learning provider,Independent learning providers (including employer providers),ITS388117,Full Inspection,2012.07.30,4
10001848,Darlington Borough Council,Local authority provider,Adult community education providers,ITS375501,Full Inspection,2012.01.16,4
10001869,Davidson Training UK Limited,Independent learning provider,Independent learning providers (including employer providers),ITS342603,Full Inspection,2009.10.13,3
10007922,Derby Skillbuild,Independent learning provider,Independent learning providers (including employer providers),ITS434401,Full Inspection,2015.03.17,2
10009389,Derwent Training Association,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10001944,Humankind,Independent learning provider,Independent learning providers (including employer providers),ITS429106,Full Inspection,2014.03.04,3
10001951,Devon County Council Adult and Community Learning,Local authority provider,Adult community education providers,ITS410631,Full Inspection,2013.04.22,4
10001967,Didac Limited,Independent learning provider,Independent learning providers (including employer providers),ITS452601,Full Inspection,2015.03.10,3
10001971,Dimensions Training Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),10004910,Full Inspection,2015.09.22,3
10010178,dip,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10083920,Boots UK Limited,Employer provider,Independent learning providers (including employer providers),10054735,Full Inspection,2018.10.23,3
10002008,Doncaster Metropolitan Borough Council,Local authority provider,Adult community education providers,10030658,Full Inspection,2017.05.23,3
10002009,Doncaster Rotherham and District Motor Trades Group Training Association Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366036,Full Inspection,2011.05.10,3
10002073,Big Creative Training LTD,Independent learning provider,Independent learning providers (including employer providers),10022538,Full Inspection,2017.03.15,2
10002085,E.Quality Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS408483,Full Inspection,2013.06.18,3
10002098,Easi Hairdressing Academy Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10019812,East Birmingham Community Forum Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10002118,East London Advanced Technology Training,Independent learning provider,Independent learning providers (including employer providers),ITS452602,Full Inspection,2015.01.14,2
10008919,East Riding of Yorkshire Council,Local authority provider,Adult community education providers,10090583,Full Inspection,2019.06.11,3
10000612,Bedfordshire & Luton Education Business Partnership,Independent learning provider,Independent learning providers (including employer providers),ITS429088,Full Inspection,2014.01.20,4
10002187,Education and Training Skills Ltd,Independent learning provider,Independent learning providers (including employer providers),10099446,Full Inspection,2019.03.12,3
10025384,EEF Limited,Independent learning provider,Independent learning providers (including employer providers),10011477,Full Inspection,2016.05.17,3
10002214,Elfrida Rathbone Camden - Leighton Education Project,Independent learning provider,Independent learning providers (including employer providers),ITS354462,Full Inspection,2010.11.23,3
10002230,Bauer Radio,Independent learning provider,Independent learning providers (including employer providers),10123143,Full Inspection,2020.02.18,3
10002269,English National Ballet School Limited,Dance and drama college,Dance and drama colleges,10004915,Full Inspection,2016.03.09,1
10002327,Essex County Council,Local authority provider,Adult community education providers,10041138,Full Inspection,2018.02.20,3
10002078,E Training,Independent learning provider,Independent learning providers (including employer providers),ITS433754,Full Inspection,2014.07.01,3
10002407,Fareport Training Organisation Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366057,Full Inspection,2011.07.04,4
10002463,Finning (UK) Ltd.,Employer provider,Independent learning providers (including employer providers),10030778,Full Inspection,2017.05.16,2
10002471,First College,Independent learning provider,Independent learning providers (including employer providers),ITS343968,Full Inspection,2010.03.16,3
10002483,First Rung Limited,Independent learning provider,Independent learning providers (including employer providers),10017525,Full Inspection,2016.11.22,3
10003915,Lifetime Training Group Limited,Independent learning provider,Independent learning providers (including employer providers),ITS395225,Full Inspection,2012.07.09,4
10037348,Babcock Skills Development And Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS345944,Full Inspection,2010.09.28,3
