ukprn,provider_name,provider_type,provider_group,inspection_number,inspection_type,inspection_date,inspection_length_in_days
10023368,SSE Services PLC,Employer provider,Independent learning providers (including employer providers),ITS404582,Full Inspection,2012.09.18,3
10023415,Toni & Guy UK Training Limited,Employer provider,Independent learning providers (including employer providers),10011533,Full Inspection,2016.05.10,3
10021684,London Learning Consortium Community Interest Company,Independent learning provider,Independent learning providers (including employer providers),ITS430254,Full Inspection,2014.11.24,4
10023047,Remit Group Limited,Independent learning provider,Independent learning providers (including employer providers),ITS429794,Full Inspection,2014.11.17,4
10003207,Humber Learning Consortium,Independent learning provider,Independent learning providers (including employer providers),10005434,Full Inspection,2015.10.13,3
10022507,London Skills & Development Network Limited,Independent learning provider,Independent learning providers (including employer providers),10109480,Full Inspection,2019.11.05,2
10019914,Eden College of Human Resource Development and Management Studies Limited,Independent learning provider,Independent learning providers (including employer providers),10041186,Full Inspection,2018.01.30,2
10013362,Siemens Public Limited Company,Employer provider,Independent learning providers (including employer providers),10011536,Full Inspection,2016.08.16,3
10019700,Shaw Healthcare (Group) Limited,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10024018,Agility People Services Limited,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10024686,Resources (NE) Limited,Independent learning provider,Independent learning providers (including employer providers),10006560,Full Inspection,2015.11.03,3
10000311,The Military Preparation College,Independent learning provider,Independent learning providers (including employer providers),ITS434058,Full Inspection,2014.07.28,4
10019798,Interlearn Limited,Independent learning provider,Independent learning providers (including employer providers),10078075,Full Inspection,2019.01.15,3
10024124,T2 Business Solutions,Independent learning provider,Independent learning providers (including employer providers),10022510,Full Inspection,2017.06.06,3
10023808,SAMB Training (Scottish Association of Master Bakers),Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10031984,Dynamic Training UK Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS376254,Full Inspection,2011.11.07,4
10022805,University Hospital Southampton NHS Foundation Trust,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10019041,Engage Training and Development Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10019383,City Gateway,Independent learning provider,Independent learning providers (including employer providers),10123085,Full Inspection,2020.02.25,2
10013110,Care First Training Limited,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10001777,Alt Valley Community Trust,Independent learning provider,Independent learning providers (including employer providers),10022612,Full Inspection,2016.11.01,2
10007424,The West Midlands Creative Alliance Limited,Independent learning provider,Independent learning providers (including employer providers),10129303,Full Inspection,2019.11.06,2
10024294,Cheshire West and Chester Council,Local authority provider,Adult community education providers,ITS452624,Full Inspection,2015.03.17,3
10024704,Raytheon Professional Services,Independent learning provider,Independent learning providers (including employer providers),10011540,Full Inspection,2016.04.19,3
10023829,Global Skills Training Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10027498,Travis Perkins PLC,Independent learning provider,Independent learning providers (including employer providers),10011542,Full Inspection,2016.04.26,3
10024293,Cheshire East Council,Local authority provider,Adult community education providers,ITS434067,Full Inspection,2014.05.20,3
10024292,Central Bedfordshire Council,Local authority provider,Adult community education providers,ITS363133,Full Inspection,2011.06.13,4
10030520,Select Service Partner UK Limited,Employer provider,Independent learning providers (including employer providers),10090592,Full Inspection,2019.02.26,2
10030120,Hays Travel Limited,Independent learning provider,Independent learning providers (including employer providers),ITS399128,Full Inspection,2012.09.25,3
10033547,Consortium of Vocational and Educational Trainers Limited,Independent learning provider,Independent learning providers (including employer providers),10037357,Full Inspection,2017.12.12,3
10032404,Apprenticeships & Training Services Consortium Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423829,Full Inspection,2013.10.29,3
10033482,Consortia Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423838,Full Inspection,2013.11.12,3
10032119,South West Association of Training Providers Limited,Independent learning provider,Independent learning providers (including employer providers),10011543,Full Inspection,2016.05.10,3
10034309,Realise Learning and Employment Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423830,Full Inspection,2013.12.09,4
10034055,ACE Training and Consultancy Limited,Independent learning provider,Independent learning providers (including employer providers),10078076,Full Inspection,2019.01.15,3
10006735,The Learning Partnership for Cornwall and The Isles of Scilly Limited,Independent learning provider,Independent learning providers (including employer providers),10008494,Full Inspection,2016.01.12,3
10027693,All Trades Training Limited,Independent learning provider,Independent learning providers (including employer providers),10090597,Full Inspection,2019.06.04,2
10025330,Release Potential Ltd,Independent learning provider,Independent learning providers (including employer providers),10005093,Full Inspection,2015.11.03,3
10027873,Training Strategies Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS433767,Full Inspection,2015.03.10,3
10033736,Academies Enterprise Trust,Employer provider,Independent learning providers (including employer providers),10037419,Full Inspection,2017.11.07,2
10019237,Activate Community and Education Services,Independent specialist college,Independent specialist colleges,10037420,Full Inspection,2017.10.16,2
10030249,Skills Edge Training Ltd,Independent learning provider,Independent learning providers (including employer providers),10090621,Full Inspection,2019.06.04,3
10031028,GLAS Business Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),10192192,Full Inspection,2021.07.20,3
10019314,JBC Skills Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS446618,Full Inspection,2014.09.17,2
10032740,Learning Skills Partnership Ltd,Independent learning provider,Independent learning providers (including employer providers),10030667,Full Inspection,2017.06.19,3
10034315,Liga (UK) LTD,Independent learning provider,Independent learning providers (including employer providers),10145305,Full Inspection,2020.02.18,2
10024404,London Vesta College Limited,Independent learning provider,Independent learning providers (including employer providers),10123068,Full Inspection,2020.02.26,2
10036578,The Apprentice Academy Limited,Independent learning provider,Independent learning providers (including employer providers),10022619,Full Inspection,2017.01.10,3
10030670,The Real Apprenticeship Company Limited,Independent learning provider,Independent learning providers (including employer providers),10090596,Full Inspection,2019.06.18,3
10035270,Escalla TS Limited,Independent learning provider,Independent learning providers (including employer providers),10022557,Full Inspection,2017.05.09,3
10005109,DBC Training,Independent learning provider,Independent learning providers (including employer providers),10011546,Full Inspection,2016.06.06,2
10020307,Astute Minds Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS455611,Full Inspection,2015.03.24,3
10013122,Sysco Business Skills Academy Limited,Independent learning provider,Independent learning providers (including employer providers),ITS433553,Full Inspection,2013.11.11,4
10036431,PeoplePlus Group Limited,Independent learning provider,Independent learning providers (including employer providers),10030697,Full Inspection,2017.06.27,3
10021793,Pathway First Limited,Independent learning provider,Independent learning providers (including employer providers),10021015,Full Inspection,2016.10.04,3
10022503,ProVQ Limited,Independent learning provider,Independent learning providers (including employer providers),ITS461246,Full Inspection,2015.06.02,3
10027766,Eden Training Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),ITS455616,Full Inspection,2015.06.02,3
10031146,SR Education,Independent learning provider,Independent learning providers (including employer providers),10022572,Full Inspection,2017.03.21,3
10023896,MPower Training Solutions Ltd,Independent learning provider,Independent learning providers (including employer providers),10030719,Full Inspection,2017.11.21,3
10019581,TCHC Limited,Independent learning provider,Independent learning providers (including employer providers),10030721,Full Inspection,2017.04.25,2
10039882,GI Group,Employer provider,Independent learning providers (including employer providers),10011547,Full Inspection,2016.07.05,3
10029823,DV8 Training (Brighton) Limited,Independent learning provider,Independent learning providers (including employer providers),10123109,Full Inspection,2020.03.03,3
10041332,Health Education England,Independent learning provider,Independent learning providers (including employer providers),ITS452633,Full Inspection,2015.03.16,3
10039859,Academy Transformation Trust,Independent learning provider,Independent learning providers (including employer providers),10030702,Full Inspection,2017.06.06,3
10010631,ALM Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),10041173,Full Inspection,2018.03.21,2
10042884,Bosch Automotive Service Solutions Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS410661,Full Inspection,2013.06.24,4
10010792,Hackney London Borough Council,Local authority provider,Adult community education providers,10041174,Full Inspection,2018.03.13,3
10010905,Meadowhall Training Limited,Independent learning provider,Independent learning providers (including employer providers),10022489,Full Inspection,2017.05.09,3
10025390,Clarkson Evans Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423751,Full Inspection,2013.11.19,3
10042126,Vision Express,Employer provider,Independent learning providers (including employer providers),10030710,Full Inspection,2017.07.25,2
10001648,CXK Limited,Independent learning provider,Independent learning providers (including employer providers),10041175,Full Inspection,2018.02.06,2
10038020,Green Labyrinth,Independent learning provider,Independent learning providers (including employer providers),10090582,Full Inspection,2019.11.26,3
10036176,MiddletonMurray Limited,Independent learning provider,Independent learning providers (including employer providers),10005112,Full Inspection,2016.07.26,3
10043571,Gordon Franks Training Limited,Independent learning provider,Independent learning providers (including employer providers),10123024,Full Inspection,2020.02.04,3
10018331,StreetVibes Academy,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10045359,Be Wiser Insurance Services,Employer provider,Independent learning providers (including employer providers),10046782,Full Inspection,2018.05.15,2
10046552,Halfords,Employer provider,Independent learning providers (including employer providers),10078078,Full Inspection,2019.02.19,3
10044778,HOB Salons Limited,Independent learning provider,Independent learning providers (including employer providers),10109474,Full Inspection,2019.12.02,3
10044729,Momentum Training and Consultancy,Employer provider,Independent learning providers (including employer providers),10005116,Full Inspection,2016.10.11,3
10043575,Pizza Hut,Employer provider,Independent learning providers (including employer providers),10090574,Full Inspection,2019.03.26,2
10027893,GK Apprenticeships Limited,Independent learning provider,Independent learning providers (including employer providers),10005118,Full Inspection,2017.06.06,3
10003280,In-Comm Training and Business Services Limited,Independent learning provider,Independent learning providers (including employer providers),10022594,Full Inspection,2017.03.07,3
10012814,Henshaws College,Independent specialist college,Independent specialist colleges,10054601,Full Inspection,2018.11.21,2
10001463,City Lit,Institute for adult learning,Adult community education providers,10020132,Full Inspection,2016.12.06,3
10007636,WM College,Institute for adult learning,Adult community education providers,10054558,Full Inspection,2018.11.13,3
10007875,The Mary Ward Centre (AE Centre),Institute for adult learning,Adult community education providers,ITS452634,Full Inspection,2015.01.19,4
10002094,"Ealing, Hammersmith and West London College",General further education college,Colleges,10022544,Full Inspection,2017.03.07,3
10006135,St Charles Catholic Sixth Form College,Sixth-form college,Colleges,10123091,Full Inspection,2020.01.15,2
10004432,Morley College,Institute for adult learning,Adult community education providers,NULL,NULL,NA,NA
10003755,Lambeth College,General further education college,Colleges,10090571,Full Inspection,2019.05.14,3
10004204,The Marine Society College of the Sea,Institute for adult learning,Adult community education providers,10037396,Full Inspection,2017.09.28,1
10001416,Christ The King Sixth Form College,Sixth-form college,Colleges,10022556,Full Inspection,2017.03.07,3
10006963,New City College,General further education college,Colleges,NULL,NULL,NA,NA
10007364,Workers' Educational Association,Institute for adult learning,Adult community education providers,ITS423428,Full Inspection,2013.12.09,4
10007455,Capital City College Group,General further education college,Colleges,10090616,Full Inspection,2020.01.21,3
10008007,St Francis Xavier Sixth Form College,Sixth-form college,Colleges,10041139,Full Inspection,2018.01.23,3
10001476,United Colleges Group,General further education college,Colleges,10109501,Full Inspection,2019.12.10,3
10000528,Barking and Dagenham College,General further education college,Colleges,ITS408436,Full Inspection,2013.04.22,4
10000533,Barnet and Southgate College,General further education college,Colleges,10054624,Full Inspection,2018.12.04,3
10000948,London South East Colleges,General further education college,Colleges,10078079,Full Inspection,2019.03.19,3
10001778,Croydon College,General further education college,Colleges,NULL,NULL,NA,NA
10001148,Capel Manor College,Specialist further education college,Colleges,ITS408424,Full Inspection,2013.01.29,3
10009439,Stanmore College,General further education college,Colleges,10022554,Full Inspection,2017.01.31,3
10006148,St Dominic's Sixth Form College,Sixth-form college,Colleges,ITS318860,Full Inspection,2008.04.01,1
10007193,HCUC (Harrow College & Uxbridge College),General further education college,Colleges,NULL,NULL,NA,NA
10007434,West Thames College,General further education college,Colleges,10037374,Full Inspection,2017.11.14,3
10003674,South Thames Colleges Group,General further education college,Colleges,10123115,Full Inspection,2020.02.04,3
10004607,Newham College of Further Education,General further education college,Colleges,10011419,Full Inspection,2016.04.26,3
10004608,Newham Sixth Form College,Sixth-form college,Colleges,10054680,Full Inspection,2018.12.04,3
10005469,Richmond-upon-Thames College,General further education college,Colleges,10037397,Full Inspection,2017.10.10,3
10007321,Waltham Forest College,General further education college,Colleges,10041140,Full Inspection,2018.02.06,3
10003899,Leyton Sixth Form College,Sixth-form college,Colleges,10004684,Full Inspection,2016.02.23,3
10005859,Sir George Monoux College,Sixth-form college,Colleges,10041141,Full Inspection,2018.01.09,3
10005967,South and City College Birmingham,General further education college,Colleges,10054612,Full Inspection,2018.11.27,3
10006442,Birmingham Metropolitan College,General further education college,Colleges,10054715,Full Inspection,2018.10.16,3
10008641,Fircroft College of Adult Education,Institute for adult learning,Adult community education providers,ITS434066,Full Inspection,2014.04.28,3
10003511,Joseph Chamberlain Sixth Form College,Sixth-form college,Colleges,10037331,Short inspection Conversion,2017.11.07,3
10003010,Coventry College,General further education college,Colleges,10109494,Full Inspection,2019.09.17,3
10003029,Hereward College of Further Education,General further education college,Colleges,10037387,Full Inspection,2017.11.21,3
10007924,Dudley College of Technology,General further education college,Colleges,10022583,Short inspection Conversion,2017.01.25,114
10002852,Halesowen College,General further education college,Colleges,10022584,Full Inspection,2017.09.18,3
10005669,Sandwell College,General further education college,Colleges,NULL,NULL,NA,NA
10005946,Solihull College & University Centre,General further education college,Colleges,NULL,NULL,NA,NA
10007315,Walsall College,General further education college,Colleges,10123014,Full Inspection,2020.03.03,3
10007578,City of Wolverhampton College,General further education college,Colleges,10037362,Full Inspection,2017.11.14,3
10003955,The City of Liverpool College,General further education college,Colleges,10037398,Full Inspection,2017.10.02,3
10006174,St Helens College,General further education college,Colleges,10109499,Full Inspection,2020.01.14,3
10001201,Carmel College,Sixth-form college,Colleges,10054606,Full Inspection,2019.04.30,3
10003193,Hugh Baird College,General further education college,Colleges,10037372,Full Inspection,2018.02.26,3
10006038,Southport College,General further education college,Colleges,10123119,Full Inspection,2020.02.11,3
10007553,Wirral Metropolitan College,General further education college,Colleges,10037400,Full Inspection,2017.10.03,3
10000794,Bolton College,General further education college,Colleges,10022613,Full Inspection,2017.02.07,3
10001005,Bury College,General further education college,Colleges,10054652,Full Inspection,2018.09.18,3
10003128,Holy Cross College,Sixth-form college,Colleges,10054607,Full Inspection,2018.12.10,2
10004108,Loreto College,Sixth-form college,Colleges,ITS342775,Full Inspection,2009.11.10,3
10007682,Xaverian College,Sixth-form college,Colleges,ITS318912,Full Inspection,2008.01.28,4
10006770,The Oldham College,General further education college,Colleges,10054653,Full Inspection,2018.12.04,3
10003146,Hopwood Hall College,General further education college,Colleges,ITS365902,Full Inspection,2011.05.23,4
10005032,Salford City College,General further education college,Colleges,ITS346185,Full Inspection,2010.05.10,4
10000330,Aquinas College,Sixth-form college,Colleges,ITS408453,Full Inspection,2013.09.24,3
10001346,Cheadle and Marple Sixth Form College,Sixth-form college,Colleges,10078080,Full Inspection,2019.03.26,3
10006494,Tameside College,General further education college,Colleges,10049214,Full Inspection,2018.04.24,3
10005998,Trafford College Group,General further education college,Colleges,NULL,NULL,NA,NA
10007500,Wigan and Leigh College,General further education college,Colleges,10022096,Full Inspection,2016.11.08,3
10007546,Winstanley College,Sixth-form college,Colleges,10123015,Full Inspection,2020.02.03,3
10006195,St John Rigby RC Sixth Form College,Sixth-form college,Colleges,10020087,Short inspection Conversion,2017.02.14,3
10000536,Barnsley College,General further education college,Colleges,ITS354445,Full Inspection,2010.11.01,4
10004739,Northern College for Residential Adult Education Limited,Institute for adult learning,Adult community education providers,ITS411064,Full Inspection,2014.06.17,3
10005534,RNN Group,General further education college,Colleges,10081752,Full Inspection,2019.03.19,3
10005788,The Sheffield College,General further education college,Colleges,10109488,Full Inspection,2019.09.24,3
10000840,Bradford College,General further education college,Colleges,10037383,Full Inspection,2017.10.10,3
10005810,Shipley College,General further education college,Colleges,ITS409325,Full Inspection,2013.02.12,3
10001093,Calderdale College,General further education college,Colleges,10041134,Full Inspection,2018.01.30,3
10003189,Kirklees College,General further education college,Colleges,ITS385831,Full Inspection,2012.11.05,4
10002770,Greenhead College,Sixth-form college,Colleges,ITS316660,Full Inspection,2007.11.21,1
10003188,Huddersfield New College,Sixth-form college,Colleges,10011422,Full Inspection,2016.04.12,3
10003855,Leeds College of Building,General further education college,Colleges,10109479,Full Inspection,2019.10.22,3
10003854,Leeds Arts University,Higher education institution,Higher education institutions,ITS363297,Full Inspection,2011.03.07,4
10004785,Notre Dame Catholic Sixth Form College,Sixth-form college,Colleges,ITS322398,Full Inspection,2008.04.16,1
10007289,Wakefield College,General further education college,Colleges,10054729,Full Inspection,2018.12.04,3
10002638,Gateshead College,General further education college,Colleges,10134475,Full Inspection,2020.01.28,3
10004599,NCG,General further education college,Colleges,10046784,Full Inspection,2018.05.14,7
10005999,Tyne Coast College,General further education college,Colleges,10109500,Full Inspection,2019.10.08,3
10001465,Bath College,General further education college,Colleges,10041407,Full Inspection,2018.01.16,3
10006130,St Brendan's Sixth Form College,Sixth-form college,Colleges,ITS399021,Full Inspection,2012.10.16,3
10007459,Weston College,General further education college,Colleges,ITS423351,Full Inspection,2013.12.09,4
10002917,Hartlepool College of Further Education,General further education college,Colleges,10022482,Full Inspection,2017.03.07,3
10004344,Middlesbrough College,General further education college,Colleges,10054730,Full Inspection,2018.09.11,3
10001503,The Northern School of Art,Specialist further education college,Colleges,ITS333003,Full Inspection,2009.06.02,1
10006341,The Education Training Collective,General further education college,Colleges,NULL,NULL,NA,NA
10003200,Hull College,General further education college,Colleges,10078085,Full Inspection,2019.05.07,3
10007503,Wilberforce College,Sixth-form college,Colleges,ITS434399,Full Inspection,2015.04.28,3
10007673,Wyke Sixth Form College,Sixth-form college,Colleges,ITS423380,Full Inspection,2013.10.01,3
10000721,Bishop Burton College,Specialist further education college,Colleges,10022488,Full Inspection,2017.01.17,3
10007938,TEC Partnership,General further education college,Colleges,NULL,NULL,NA,NA
10002570,Franklin College,Sixth-form college,Colleges,10054608,Full Inspection,2018.09.25,3
10004695,DN Colleges Group,General further education college,Colleges,NULL,NULL,NA,NA
10003491,John Leggott Sixth Form College,Sixth-form college,Colleges,ITS429291,Full Inspection,2014.03.25,3
10001743,Craven College,General further education college,Colleges,10041144,Full Inspection,2018.01.16,3
10005741,Selby College,General further education college,Colleges,10022498,Full Inspection,2017.12.05,3
10005687,Scarborough Sixth Form College,Sixth-form college,Colleges,10109432,Full Inspection,2019.10.08,2
10007709,York College,General further education college,Colleges,ITS423353,Full Inspection,2013.12.09,4
10000415,Askham Bryan College,Specialist further education college,Colleges,ITS376133,Full Inspection,2011.12.05,4
10000610,Bedford College,General further education college,Colleges,10109492,Full Inspection,2019.09.23,3
10002061,Central Bedfordshire College,General further education college,Colleges,10052026,Full Inspection,2018.05.15,3
10004125,Luton Sixth Form College,Sixth-form college,Colleges,10039880,Full Inspection,2017.11.28,3
10004596,Newbury College,General further education college,Colleges,ITS452486,Full Inspection,2015.01.27,3
10002107,Windsor Forest Colleges Group,General further education college,Colleges,10109503,Full Inspection,2019.11.26,3
10000654,Berkshire College of Agriculture,Specialist further education college,Colleges,10022515,Full Inspection,2017.03.07,3
10000473,Buckinghamshire College Group,General further education college,Colleges,NULL,NULL,NA,NA
10004375,Milton Keynes College,General further education college,Colleges,10030686,Full Inspection,2017.05.23,3
10001116,Cambridge Regional College,General further education college,Colleges,10123111,Full Inspection,2020.02.04,3
10005077,Inspire Education Group,General further education college,Colleges,NULL,NULL,NA,NA
10003094,Hills Road Sixth Form College,Sixth-form college,Colleges,ITS295010,Full Inspection,2006.11.03,0
10004088,Long Road Sixth Form College,Sixth-form college,Colleges,10022599,Full Inspection,2017.01.24,3
10007339,Warrington and Vale Royal College,General further education college,Colleges,10109502,Full Inspection,2019.10.08,3
10005972,Cheshire College - South & West,General further education college,Colleges,10109493,Full Inspection,2019.11.12,3
10004144,Macclesfield College,General further education college,Colleges,10039831,Full Inspection,2017.11.20,3
10002863,Riverside College Halton,General further education college,Colleges,10123027,Short inspection Conversion,2020.02.26,14
10005404,Reaseheath College,Specialist further education college,Colleges,ITS343830,Full Inspection,2010.02.08,4
10001696,Cornwall College,General further education college,Colleges,10054762,Full Inspection,2019.05.14,3
10007063,Truro and Penwith College,General further education college,Colleges,10004724,Full Inspection,2016.02.23,3
10003558,Kendal College,General further education college,Colleges,10030788,Full Inspection,2017.06.06,3
10003753,Lakes College - West Cumbria,General further education college,Colleges,10037402,Full Inspection,2017.12.05,3
10002599,Furness College,General further education college,Colleges,10078087,Full Inspection,2019.03.12,3
10001378,Chesterfield College,General further education college,Colleges,10109469,Full Inspection,2019.11.25,3
10002370,Exeter College,General further education college,Colleges,ITS429162,Full Inspection,2014.01.20,4
10004676,Petroc,General further education college,Colleges,ITS385350,Full Inspection,2012.03.19,4
10005977,South Devon College,General further education college,Colleges,10037375,Full Inspection,2017.10.31,3
10005128,City College Plymouth,General further education college,Colleges,ITS398997,Full Inspection,2012.10.01,4
10005127,Plymouth College of Art,Higher education institution,Higher education institutions,ITS410605,Full Inspection,2013.04.30,3
10000820,The Bournemouth and Poole College,General further education college,Colleges,10078089,Full Inspection,2019.03.12,3
10007469,Weymouth College,General further education college,Colleges,10004729,Full Inspection,2015.11.10,3
10003676,Kingston Maurward College,Specialist further education college,Colleges,ITS430267,Full Inspection,2014.09.30,3
10001850,Darlington College,General further education college,Colleges,10011428,Full Inspection,2016.05.17,3
10000720,Bishop Auckland College,General further education college,Colleges,10054613,Full Inspection,2018.11.13,3
10001934,Derwentside College,General further education college,Colleges,10011431,Full Inspection,2016.04.26,3
10004576,New College Durham,General further education college,Colleges,ITS332999,Full Inspection,2009.06.08,4
10005325,Queen Elizabeth Sixth Form College,Sixth-form college,Colleges,ITS385367,Full Inspection,2012.01.31,3
10002923,East Sussex College Group,General further education college,Colleges,NULL,NULL,NA,NA
10005124,Plumpton College,Specialist further education college,Colleges,10041146,Full Inspection,2018.02.20,3
10007212,Varndean College,Sixth-form college,Colleges,10054786,Full Inspection,2018.10.30,2
10000887,Brighton Hove and Sussex Sixth Form College,Sixth-form college,Colleges,ITS399015,Full Inspection,2012.10.09,3
10000670,Bexhill College,Sixth-form college,Colleges,ITS354453,Full Inspection,2010.11.02,3
10005981,South Essex College of Further and  Higher Education,General further education college,Colleges,NULL,NULL,NA,NA
10001535,Colchester Institute,General further education college,Colleges,10054626,Full Inspection,2018.11.06,3
10002899,Harlow College,General further education college,Colleges,10078090,Full Inspection,2019.01.22,3
10001353,Chelmsford College,General further education college,Colleges,10037403,Full Inspection,2017.12.12,3
10005881,The Sixth Form College Colchester,Sixth-form college,Colleges,ITS408452,Full Inspection,2013.02.05,3
10005736,USP College,General further education college,Colleges,NULL,NULL,NA,NA
10002696,Gloucestershire College,General further education college,Colleges,10011564,Short inspection Conversion,2016.09.20,16
10001446,Cirencester College,Sixth-form college,Colleges,10054681,Full Inspection,2018.11.20,3
10000560,Basingstoke College of Technology,General further education college,Colleges,10004744,Full Inspection,2016.05.03,3
10002412,Farnborough College of Technology,General further education college,Colleges,ITS376150,Full Inspection,2011.11.14,4
10000944,Brockenhurst College,General further education college,Colleges,10022532,Full Inspection,2017.01.31,3
10002143,Eastleigh College,General further education college,Colleges,10054627,Full Inspection,2018.12.04,3
10007928,Fareham College,General further education college,Colleges,10030681,Short inspection Conversion,2017.10.03,3
10005979,Havant and South Downs College,General further education college,Colleges,10123114,Full Inspection,2020.03.10,3
10006020,Southampton City College,General further education college,Colleges,10054676,Full Inspection,2018.12.11,3
10007945,Highbury College,General further education college,Colleges,10047082,Full Inspection,2018.04.23,3
10006050,Sparsholt College Hampshire,Specialist further education college,Colleges,ITS429182,Full Inspection,2014.02.10,4
10000552,Barton Peveril Sixth Form College,Sixth-form college,Colleges,ITS343646,Full Inspection,2010.02.02,3
10003427,Itchen College,Sixth-form college,Colleges,10054683,Full Inspection,2018.12.04,2
10005158,Portsmouth College,Sixth-form college,Colleges,ITS408458,Full Inspection,2013.03.12,3
10005072,Peter Symonds College,Sixth-form college,Colleges,10123011,Full Inspection,2020.01.14,3
10003023,"Herefordshire, Ludlow and North Shropshire College",General further education college,Colleges,NULL,NULL,NA,NA
10007977,Heart of Worcestershire College,General further education college,Colleges,10041147,Full Inspection,2018.01.30,3
10003022,Hereford College of Arts,Specialist further education college,Colleges,ITS423372,Full Inspection,2013.10.01,3
10007417,West Herts College,General further education college,Colleges,NULL,NULL,NA,NA
10004690,North Hertfordshire College,General further education college,Colleges,10037405,Full Inspection,2017.10.31,3
10003035,Hertford Regional College,General further education college,Colleges,10041148,Full Inspection,2018.03.13,3
10004835,Oaklands College,General further education college,Colleges,10052117,Full Inspection,2018.04.24,3
10003406,The Isle of Wight College,General further education college,Colleges,10030828,Full Inspection,2017.05.23,3
10004721,North Kent College,General further education college,Colleges,ITS429167,Full Inspection,2014.02.10,4
10004340,MidKent College,General further education college,Colleges,10054678,Full Inspection,2018.11.13,3
10007419,West Kent and Ashford College,General further education college,Colleges,10054677,Full Inspection,2018.10.02,3
10006570,EKC Group,General further education college,Colleges,NULL,NULL,NA,NA
10002843,Hadlow College,Specialist further education college,Colleges,ITS345814,Full Inspection,2010.06.07,4
10001000,Burnley College,General further education college,Colleges,ITS331024,Full Inspection,2009.03.16,4
10000747,Blackburn College,General further education college,Colleges,10054654,Full Inspection,2018.12.11,3
10003768,Lancaster and Morecambe College,General further education college,Colleges,10123100,Full Inspection,2020.03.03,3
10004552,Nelson and Colne College,General further education college,Colleges,NULL,NULL,NA,NA
10000754,Blackpool and the Fylde College,General further education college,Colleges,ITS423360,Full Inspection,2013.10.07,4
10005200,Preston College,General further education college,Colleges,10054655,Full Inspection,2018.10.15,3
10005575,Runshaw College,General further education college,Colleges,ITS322406,Full Inspection,2008.05.21,1
10004478,Myerscough College,Specialist further education college,Colleges,ITS410604,Full Inspection,2013.06.03,4
10000756,The Blackpool Sixth Form College,Sixth-form college,Colleges,ITS333004,Full Inspection,2009.05.11,4
10001165,Cardinal Newman College,Sixth-form college,Colleges,ITS333000,Full Inspection,2009.05.19,1
10006226,St Mary's College,Sixth-form college,Colleges,10054609,Full Inspection,2019.02.27,2
10004112,Loughborough College,General further education college,Colleges,10022571,Full Inspection,2017.05.23,3
10000952,The SMB Group,Specialist further education college,Colleges,NULL,NULL,NA,NA
10007671,WQE and Regent College Group,Sixth-form college,Colleges,NULL,NULL,NA,NA
10002743,Grantham College,General further education college,Colleges,10030741,Full Inspection,2017.09.19,3
10000812,Boston College,General further education college,Colleges,ITS429285,Full Inspection,2014.06.02,4
10003928,Lincoln College,General further education college,Colleges,10041151,Full Inspection,2018.03.13,3
10007916,The College of West Anglia,General further education college,Colleges,10054679,Full Inspection,2019.01.07,3
10004772,Norwich City College of Further and Higher Education,General further education college,Colleges,NULL,NULL,NA,NA
10007011,Northampton College,General further education college,Colleges,10054642,Full Inspection,2018.10.30,3
10004442,Moulton College,Specialist further education college,Colleges,10078372,Full Inspection,2019.04.30,3
10004577,Nottingham College,General further education college,Colleges,10123110,Full Inspection,2020.01.14,3
10007427,West Nottinghamshire College,General further education college,Colleges,10011442,Full Inspection,2017.02.07,3
10003011,The Henley College,Sixth-form college,Colleges,10109436,Full Inspection,2019.10.22,3
10000055,Abingdon and Witney College,General further education college,Colleges,10020080,Full Inspection,2017.03.28,3
10005583,Ruskin College,Institute for adult learning,Adult community education providers,ITS399150,Full Inspection,2012.11.20,3
10006549,Telford College,General further education college,Colleges,NULL,NULL,NA,NA
10005822,Shrewsbury Colleges Group,Sixth-form college,Colleges,10109498,Full Inspection,2019.11.26,3
10000878,Bridgwater and Taunton College,General further education college,Colleges,10078092,Full Inspection,2019.03.05,3
10007696,Yeovil College,General further education college,Colleges,10020108,Full Inspection,2016.10.04,3
10006378,Strode College,General further education college,Colleges,ITS446539,Full Inspection,2014.09.23,3
